problem_id,llm,difficulty,passed,tests_passed,tests_total,tests_passed_pct,loc,cyclomatic_complexity,error
1,chatgptv5.5,Easy,True,115,115,100.0,8,5,0
1,claude_sonnet_4_6,Easy,True,115,115,100.0,7,5,0
1,gemini_v3_flash,Easy,True,115,115,100.0,6,5,0
2,chatgptv5.5,Easy,True,20,20,100.0,5,2,0
2,claude_sonnet_4_6,Easy,True,20,20,100.0,4,2,0
2,gemini_v3_flash,Easy,True,20,20,100.0,7,2,0
3,chatgptv5.5,Easy,True,87,87,100.0,14,6,0
3,claude_sonnet_4_6,Easy,True,87,87,100.0,13,6,0
3,gemini_v3_flash,Easy,False,3,87,3.4482758620689653,19,7,1
4,chatgptv5.5,Easy,False,57,69,82.6086956521739,18,7,1
4,claude_sonnet_4_6,Easy,True,69,69,100.0,16,7,0
4,gemini_v3_flash,Easy,False,57,69,82.6086956521739,18,9,1
5,chatgptv5.5,Easy,True,95,95,100.0,16,8,0
5,claude_sonnet_4_6,Easy,True,95,95,100.0,11,7,0
5,gemini_v3_flash,Easy,True,95,95,100.0,19,7,0
6,chatgptv5.5,Easy,True,6,6,100.0,11,5,0
6,claude_sonnet_4_6,Easy,True,6,6,100.0,9,5,0
6,gemini_v3_flash,Easy,True,6,6,100.0,12,7,0
7,chatgptv5.5,Easy,True,96,96,100.0,11,9,0
7,claude_sonnet_4_6,Easy,True,96,96,100.0,11,6,0
7,gemini_v3_flash,Easy,True,96,96,100.0,12,5,0
8,chatgptv5.5,Easy,True,93,93,100.0,13,2,0
8,claude_sonnet_4_6,Easy,True,93,93,100.0,11,2,0
8,gemini_v3_flash,Easy,True,93,93,100.0,11,2,0
9,chatgptv5.5,Easy,True,75,75,100.0,14,6,0
9,claude_sonnet_4_6,Easy,True,75,75,100.0,11,5,0
9,gemini_v3_flash,Easy,True,75,75,100.0,10,7,0
10,chatgptv5.5,Easy,True,185,185,100.0,19,9,0
10,claude_sonnet_4_6,Easy,True,185,185,100.0,11,6,0
10,gemini_v3_flash,Easy,True,185,185,100.0,16,7,0
11,chatgptv5.5,Medium,True,183,183,100.0,13,5,0
11,claude_sonnet_4_6,Medium,True,183,183,100.0,12,6,0
11,gemini_v3_flash,Medium,True,183,183,100.0,12,5,0
12,chatgptv5.5,Medium,True,21,21,100.0,32,5,0
12,claude_sonnet_4_6,Medium,True,21,21,100.0,13,2,0
12,gemini_v3_flash,Medium,True,21,21,100.0,17,3,0
13,chatgptv5.5,Medium,True,71,71,100.0,26,4,0
13,claude_sonnet_4_6,Medium,True,71,71,100.0,24,4,0
13,gemini_v3_flash,Medium,True,71,71,100.0,11,6,0
14,chatgptv5.5,Medium,True,69,69,100.0,18,6,0
14,claude_sonnet_4_6,Medium,True,69,69,100.0,10,8,0
14,gemini_v3_flash,Medium,True,69,69,100.0,17,6,0
15,chatgptv5.5,Medium,True,159,159,100.0,18,8,0
15,claude_sonnet_4_6,Medium,True,159,159,100.0,12,5,0
15,gemini_v3_flash,Medium,True,159,159,100.0,8,4,0
16,chatgptv5.5,Medium,True,69,69,100.0,24,9,0
16,claude_sonnet_4_6,Medium,True,69,69,100.0,25,8,0
16,gemini_v3_flash,Medium,False,65,69,94.20289855072464,24,8,1
17,chatgptv5.5,Medium,True,122,122,100.0,19,7,0
17,claude_sonnet_4_6,Medium,True,122,122,100.0,16,7,0
17,gemini_v3_flash,Medium,True,122,122,100.0,19,8,0
18,chatgptv5.5,Medium,True,77,77,100.0,22,10,0
18,claude_sonnet_4_6,Medium,True,77,77,100.0,12,9,0
18,gemini_v3_flash,Medium,True,77,77,100.0,18,8,0
19,chatgptv5.5,Medium,False,123,128,96.09375,22,8,1
19,claude_sonnet_4_6,Medium,True,128,128,100.0,24,8,0
19,gemini_v3_flash,Medium,True,128,128,100.0,27,9,0
20,chatgptv5.5,Medium,False,61,64,95.3125,16,7,1
20,claude_sonnet_4_6,Medium,False,61,64,95.3125,22,7,1
20,gemini_v3_flash,Medium,False,61,64,95.3125,18,7,1
21,chatgptv5.5,Hard,False,31,95,32.631578947368425,106,12,1
21,claude_sonnet_4_6,Hard,True,95,95,100.0,34,9,0
21,gemini_v3_flash,Hard,True,95,95,100.0,33,13,0
22,chatgptv5.5,Hard,False,88,93,94.6236559139785,23,7,1
22,claude_sonnet_4_6,Hard,False,88,93,94.6236559139785,22,6,1
22,gemini_v3_flash,Hard,False,88,93,94.6236559139785,19,5,1
23,chatgptv5.5,Hard,True,1,1,100.0,58,5,0
23,claude_sonnet_4_6,Hard,True,1,1,100.0,48,3,0
23,gemini_v3_flash,Hard,True,1,1,100.0,55,2,0
24,chatgptv5.5,Hard,False,65,66,98.48484848484848,35,11,1
24,claude_sonnet_4_6,Hard,False,65,66,98.48484848484848,23,11,1
24,gemini_v3_flash,Hard,False,65,66,98.48484848484848,27,13,1
25,chatgptv5.5,Hard,True,117,117,100.0,43,5,0
25,claude_sonnet_4_6,Hard,False,115,117,98.29059829059828,35,4,1
25,gemini_v3_flash,Hard,False,115,117,98.29059829059828,31,5,1
26,chatgptv5.5,Hard,True,67,67,100.0,33,8,0
26,claude_sonnet_4_6,Hard,True,67,67,100.0,30,6,0
26,gemini_v3_flash,Hard,True,67,67,100.0,31,8,0
27,chatgptv5.5,Hard,True,8,8,100.0,26,2,0
27,claude_sonnet_4_6,Hard,True,8,8,100.0,20,3,0
27,gemini_v3_flash,Hard,True,8,8,100.0,25,4,0
28,chatgptv5.5,Hard,True,100,100,100.0,18,10,0
28,claude_sonnet_4_6,Hard,True,100,100,100.0,31,8,0
28,gemini_v3_flash,Hard,True,100,100,100.0,26,16,0
29,chatgptv5.5,Hard,False,0,92,0.0,39,9,1
29,claude_sonnet_4_6,Hard,False,0,92,0.0,22,2,1
29,gemini_v3_flash,Hard,True,92,92,100.0,16,7,0
30,chatgptv5.5,Hard,False,113,114,99.12280701754386,33,10,1
30,claude_sonnet_4_6,Hard,True,114,114,100.0,18,4,0
30,gemini_v3_flash,Hard,True,114,114,100.0,26,9,0
